2D Gaussian filter kernel:
0.000000, 0.000001, 0.000007, 0.000032, 0.000053, 0.000032, 0.000007, 0.000001, 0.000000,
0.000001, 0.000020, 0.000239, 0.001072, 0.001768, 0.001072, 0.000239, 0.000020, 0.000001,
0.000007, 0.000239, 0.002915, 0.013064, 0.021539, 0.013064, 0.002915, 0.000239, 0.000007,
0.000032, 0.001072, 0.013064, 0.058550, 0.096533, 0.058550, 0.013064, 0.001072, 0.000032,
0.000053, 0.001768, 0.021539, 0.096533, 0.159156, 0.096533, 0.021539, 0.001768, 0.000053,
0.000032, 0.001072, 0.013064, 0.058550, 0.096533, 0.058550, 0.013064, 0.001072, 0.000032,
0.000007, 0.000239, 0.002915, 0.013064, 0.021539, 0.013064, 0.002915, 0.000239, 0.000007,
0.000001, 0.000020, 0.000239, 0.001072, 0.001768, 0.001072, 0.000239, 0.000020, 0.000001,
0.000000, 0.000001, 0.000007, 0.000032, 0.000053, 0.000032, 0.000007, 0.000001, 0.000000,
1D Separated Gaussian filter kernel:
0.000134, 0.004432, 0.053991, 0.241971, 0.398943, 0.241971, 0.053991, 0.004432, 0.000134,
